shop_name,id,closest_mrt,distance_to_mrt
"喝茶坊-龍安店 黑糖珍珠奶茶手搖飲料,手搖杯專賣店(來店自取買五送一)玩具，盲盒，一番賞",ChIJn421uC6nQjQRJmi-2huQuCI,迴龍站出口3,806.8149631617028
山茗-三重文化北總店,ChIJF1ugt0epQjQR_Gwxb-NRcUI,台北橋站出口,408.70639677750336
50嵐 小南門店,ChIJ737xGaSpQjQR6NS-v-3Rj8o,小南門站出口2,328.9540166484653
COMEBUY 科技大樓店,ChIJo6jEOKSrQjQRyhYHcW6J8yc,科技大樓站出口,397.6500775518288
毛青茶室 Maochi Tea 新光三越A11館,ChIJD9NDv0mrQjQRy3Z0WU_mSbg,象山站出口1,402.24156731053586
CoCo都可 內湖成功店,ChIJ_1ayFY2sQjQRVYGEUy78Vg8,內湖站出口1,284.73089218131315
鮮茶道台北站前店,ChIJuTYiKgCpQjQROnNqFbsTif4,台北車站M6,92.36652812505787
Share Tea Nanyang (Original Tea Store),ChIJiyWCMHOpQjQR7ye_96cjAhI,台北車站M6,128.44295226116574
50Lan Tucheng ASE WeMall Shop,ChIJR-am9PodaDQRfFY3GTCqaQk,土城站出口3,515.424048760847
三分春色 台北大直店,ChIJsUIMMBWtQjQR-svXxeAOaoE,大直站出口1,220.94653544012724
翠米悠 Treviio,ChIJV9BoPWoDaDQRAP3utZRjsTQ,府中站出口1,421.8474557616376
Cha for tea,ChIJH7GIrGapQjQRDgNRBklUrI8,忠孝新生站出口1,307.0873500241644
清心福全士林陽明店珍珠奶茶手搖飲料專賣店,ChIJ4RAC2K-uQjQRLiwwAqfED-c,劍潭站出口1,178.25840893894755
樺達奶茶 板橋車站店,ChIJx7L0I9upQjQR2e3jZ5zgjkQ,板橋站出口3,104.18489757772075
UNOCHA Gongguan Shop,ChIJe9O8rxypQjQRIV0aNmcpn2s,公館站出口1,79.9882340811673
北投紅茶 永安市場,ChIJDwFPoOupQjQR-mEMPQEZClI,永安市場站出口,43.473683165331806
鶴茶樓- 鶴頂紅茶商店(新莊化成店),ChIJMwrLQ7ypQjQRbEI29XeGebQ,幸福站出口2,536.0220472029024
龜記茗品-中山晴光店,ChIJM5VtYJSpQjQRtOo977ZpVqI,中山國小站出口1,255.48239738325412
50嵐 士林捷運店,ChIJbTkXT6OuQjQRg7qi7eiogBQ,士林站出口1,20.549048378491623
麻古茶坊土城中央店,ChIJT7l0gkcdaDQREE49b1jBsIw,土城站出口1,450.0352770921233
Hechalou Tea Banqiao Xinpu,ChIJMfrXGJepQjQRSTKfeb4lVDs,新埔站出口1,54.02849902081822
cha For Tea TO GO,ChIJPe1tPFqlQjQR88s6R4Sea3E,淡水站出口1,725.5210191312283
木衛二 伊通鑄茶所,ChIJPxrHW2CpQjQR6yQ2q8fOMIU,松江南京站出口6,67.36806958291615
DrinkStore水雲朵內科洲子店-內湖特色茶飲|平價飲品|必喝手搖|外帶飲料店|外帶飲料推薦,ChIJo0ZxDZ6tQjQRrJTNdPO-Fyc,西湖站出口2,384.2530379766278
功夫茶 KUNGFUTEA 淡水北新店,ChIJ7wCpzlavQjQRcXLmAgnryOE,淡水站出口1,1308.3877992476826
TRUEDAN Zhongzheng Nanmen Shop,ChIJozNWtJ6pQjQRR0zsQUa-H48,中正紀念堂站出口3,54.888240625245096
茶與布朗 Tea&Brown 蘆洲長榮店,ChIJNS58g-OpQjQR5jdnWSOdF08,蘆洲站出口1,891.5169947974337
tc shop,ChIJMdlHJS-qQjQR5BfbVK3ZMKQ,科技大樓站出口,484.704121996521
Dejeng Oolong Tea #Taipei Gongguan Project,ChIJG6WUeLipQjQRgmJS_HxFV_I,公館站出口4,135.05151152181972
萬波島嶼紅茶土城裕民店,ChIJ53lWCcUDaDQR6Anfdv6v0o8,海山站出口3,296.95673074977475
歡喜紅茶冰-黑糖粉圓專賣店,ChIJPZN6JrypQjQR4JA1NncBMTI,三重國小站出口,474.26718845934187
Ching Shin Fu Chuan Tea Station,ChIJZ8Ugvp2vQjQRXc0GAq5ergY,竹圍站出口1,126.7253705383293
50 Lan,ChIJtzbYKcSrQjQRtysCgWduS4k,國父紀念館站出口1,264.90920996846455
龜記茗品-信義A11店（2樓空橋）,ChIJ47qGIParQjQRl-kG-1On4XQ,象山站出口1,445.2941628489161
Kebuke Ripe Black Tea Taipei Kaifeng Branch,ChIJRwchJe2pQjQRnFFh9_lj7Us,台北車站M5,245.7800971346941
清心福全三重集美店-珍珠奶茶手搖飲料專賣店,ChIJz42ifz2pQjQRZc3bYWnM3uk,三重站出口3,553.1314381684933
50嵐 頭前店,ChIJS7DiNHqoQjQRTREPQ90u-gw,幸福站出口1,611.2608696860644
ODD ONE OUT Dunnan Shop,ChIJOdHWx6yrQjQRnb88OVTWvxo,忠孝敦化站出口2,95.21604805769397
TRUEDAN Taipei Shipai Shop,ChIJUSmp8dqvQjQR918ePe3eMiU,石牌站出口1,189.61704800177804
Ten Ren's Tea,ChIJfcFQWIeuQjQRop51vljKPqU,明德站出口2,1558.588957246192
Hugdayday烈奶茶,ChIJh8ed_xKrQjQRNs-LCWTPkZw,忠孝復興站出口5,84.49963538145721
Macu Fruit Tea,ChIJk8LdVC6rQjQRC-NrXyDzp2U,國父紀念館站出口2,218.14533549739477
March moons,ChIJQ9Ho5VWrQjQRFCe-C-kRMxw,象山站出口1,425.50808972830094
Ching Shin Fu Chuan Tea Station,ChIJw_Qg73CoQjQRvGN3MIHEi7g,新莊站出口1,943.2905549700502
Me2 /MetooTEA,ChIJLVSnKnatQjQRx2OURF_COkA,昆陽站出口2,1406.2495381232745
梅子兔生活飲品專賣店(西門總店),ChIJNazWIAmpQjQRi9uumLT7DE8,西門站出口6,278.79356621161935
瀨戶茶舖,ChIJd5fPsWKpQjQRXjYuehrKniM,忠孝新生站出口4,353.2731500491575
Tenren Tea Zhongxiao Second Store,ChIJ3Q2etNqrQjQRfm-V54ItAfQ,忠孝敦化站出口8,88.03334651542413
功夫茶 KUNGFUTEA 中和遠東世紀店,ChIJT0Xn9S8DaDQRUt8M8gPx74A,橋和站出口,902.763331360062
Teaman SongShan,ChIJ0d9uO5-rQjQRAZT_L5gjaDY,後山埤站出口1,385.44264423285944
Ching Shin Fu Chuan Tea Station Taipei Da'an,ChIJwVbZN9KrQjQRovUUifC3QuI,大安站出口6,242.60093676215652
一品現泡茶-旗艦店,ChIJzRCGjsoCaDQRZ-ERXrAQjFQ,海山站出口3,332.2024419566456
施房茶舍信義遠百A13,ChIJ5TYlr7urQjQRPPUrKBcknlM,象山站出口1,450.4323737295701
檸夏鮮果茶飲《北投紅茶》,ChIJB9aYEY2vQjQRLpzrQQC7Jqg,北投站出口1,152.78599310308678
思茶MissingTea 台北錦州店,ChIJOe0-Xu6rQjQRQ5su29rFt9k,中山國中站出口,441.7208821570876
功夫茶 KUNGFUTEA 土城中央店,ChIJJ91dMloDaDQR2V_NuXs-wFg,海山站出口1,307.08285653374384
大茗本位製茶堂 土城裕民店,ChIJL_fYcwADaDQRcjD0r56pmOk,海山站出口3,113.96994157040986
TP Tea,ChIJXYY0FTA2aDQRG_E7o2XyJ_0,新埔民生站出口,495.77469519839735
莫方。茶｜點,ChIJ1XCL2T6pQjQRCpcLzsVCHQc,忠孝新生站出口1,95.85609181557228
大茗本位製茶堂-台北士林店,ChIJ2bQ3AUCvQjQR-9K8KEnfI2c,士林站出口1,24.027097722581914
Co Co,ChIJA8Pf2mKoQjQRgUzveaLj_Bs,丹鳳站出口2,515.7285432023658
武林茶文創人文茶飲坊/永和竹林店,ChIJc735hOupQjQRXYAwTx9P8q4,頂溪站出口1,436.7363587363861
方最茗品 台北濟南店,ChIJlQBYKiqpQjQRjF-dsapjxhw,忠孝新生站出口5,102.46927556208385
Truedan,ChIJw9UhC2GtQjQRperu-bJj7n4,西湖站出口2,390.9761534228395
清心福全淡水中山店-珍珠奶茶手搖專賣店,ChIJl0gNKW2lQjQRRw7tcukmYhc,淡水站出口1,747.7656946999771
Ten Ren's Tea Xinyi Branch,ChIJ91DXvterQjQRtBAQTuBHmnc,東門站出口4,17.219761871774097
Co Co,ChIJ98e2Hk-uQjQRONMUaasrAPc,新北投站出口2,440.01796692105165
Nap Tea Taipei Jiangnan,ChIJHRe2Wc6tQjQROFvVh47w6qY,港墘站出口1,373.6984471231312
小水牛生活飲品天祥店,ChIJlZbzII6nQjQRBCGzQjeHkbg,丹鳳站出口1,699.0542049881699
紅茶巴士 Black Tea Bus - 土城中央站/飲料店/珍珠奶茶,ChIJoY1zvw4daDQRz5WfearHeo0,永寧站出口4,366.501881175474
武林茶文創人文茶飲坊/東區地下街店,ChIJHdiV8purQjQR_v8G-HDM5JQ,忠孝復興站出口4,45.305223425197816
武林茶文創人文茶飲坊/板橋四維旗艦店|板橋熱門飲料|特色茶飲|必喝飲料|板橋人氣茶飲|推薦手搖|在地推薦飲料|新埔捷運站手搖飲|捷運新埔民生站手搖飲,ChIJd3_t9sqpQjQRrcI4HYvcw5w,新埔民生站出口,211.7730991281183
功夫茶 KUNGFUTEA 板橋國慶店,ChIJEaq__ZUDaDQRzdtDBinYWRY,亞東醫院站出口3,1073.5037185021745
MACU Tea Xinyi,ChIJxVmqY9OrQjQRhm-oy9laCGg,大安站出口3,64.72889175453689
抿茶 min cha 中山興安店,ChIJV7Dzl6yrQjQRvtl1DSkzMYI,南京復興站出口1,412.7064432532688
Lin San Tea Institute Linkou Chang Gung Shop,ChIJse_KoIinQjQRYO5cgOaPF0E,迴龍站出口1,5907.554065588303
有料搖搖茶yoyocha,ChIJOZcwZMqpQjQR0vM1K1I_9Qc,台北車站M5,348.6400174207573
鮮茶道-桃園春日一店,ChIJ8aDi_okfaDQRMb1iaSF5nSE,迴龍站出口2,10016.47158836069
瓷禧茶坊 Teazzi 松菸店,ChIJb1NSMbmrQjQRJXb-dj8EVRs,市政府站出口2,177.86759707503228
天仁茗茶 土城店,ChIJX2y5ewADaDQR-23_u5MQoqY,海山站出口3,345.85935556259597
參壹參 TEA OR TEA,ChIJWTbyO1-rQjQRb7-Fnae579Q,中山國中站出口,485.1886937378908
MilkShop Taipei Nanyang,ChIJbQIibXOpQjQRPQ-Q5bQROl0,台大醫院站出口4,154.32648699896194
Ching Shin Fu Chuan Tea Station,ChIJgx-fY9-oQjQRYW88Mlyysec,徐匯中學站出口2,197.1885400794866
Cozy Tea Loft Taipei Dome,ChIJ_fmaEbt3bjQRBsXjqN_Kw5g,國父紀念館站出口4,170.9490918637215
Nap Tea Taipei Nanyang,ChIJ6Wd0C0epQjQR10E6GTEWbrE,台大醫院站出口4,167.7593532978769
Milk Shop Xindian,ChIJBeGCGvEBaDQR93GY8XTojhE,七張站出口1,161.60364249978622
樺達奶茶 Hwa Da Milk tea ATT 4 Fun,ChIJsyc-W2erQjQRdbRfpetI3mk,台北101/世貿站出口4,307.7336461515194
功夫茶 KUNGFUTEA 蘆洲民族店,ChIJYYAHyq-pQjQRhnAKBv5WYrk,三民高中站出口2,571.9376701715495
萬花筒飲料攤,ChIJt7xjOBOoQjQRx9QXjkIo0kA,新埔民生站出口,615.3695435844168
Zhenzhu Nai Tea,ChIJGTWhfwCrQjQRABujjGAfmME,後山埤站出口2,534.2873446740113
Guiji—Nanjing Samin Branch,ChIJW0IEGm2rQjQRd7KGXncq-NQ,南京三民站出口1,260.6049658763937
解渴林 JACK LIN TEA,ChIJocThNUGnQjQRgP2eZo1eza0,丹鳳站出口1,1001.6013879216672
老賴茶棧-士林店,ChIJOYI9dyevQjQR-IDm6ECU-LY,士林站出口1,28.59278284363825
毛青茶室 Maochi Tea 天母德東店,ChIJp74Dc0GvQjQRUGJRyrumIcE,芝山站出口2,557.9154704893791
Dragon Horn Tea,ChIJEx3_NHqqQjQRM5peXYWoYL4,木柵站出口,1117.2529058783891
鶴茶樓- 鶴頂紅茶商店(南港興華店),ChIJCzAMKPurQjQRpQ7VlUXrWIo,南港站出口1,505.97818552024296
Dejeng Oolong Tea #Tianmu Dexing Project,ChIJg0eTfG-vQjQRZ127miEaGng,芝山站出口2,478.09323069441825
方最茗品 和平店,ChIJwVbMZmSrQjQRG1Ao8Puhicc,科技大樓站出口,480.0175043412209
鶴茶樓- 鶴頂紅茶商店(三重重新店),ChIJt8TarAupQjQRKfvd9BxI2s8,台北橋站出口,34.8677015631079
50嵐 市政府站店,ChIJYx-B0pirQjQR0_-MJwbE5uY,市政府站出口4,46.146801325879075
烏武WUWU飲料店,ChIJqypTiWgdaDQREONjDFj3rJE,輔大站出口1,453.86431716136207
功夫茶 KUNGFUTEA 淡水新市店,ChIJGdYpms-7QjQRRjgRnrNiCpA,淡水站出口1,2592.758419072474
CoCo都可 板橋凱旋店,ChIJ6QmqN--pQjQRtaJX9BIv6xE,板新站出口,384.2629051898442
Oolong Tea Project,ChIJIR2thoKpQjQRdwu7Rsj-rzI,西門站出口6,283.42724482633554
小歇茶亭,ChIJ1ZnrUJ-pQjQR99JYcu673Ug,西門站出口6,414.33735439698955
Dejeng Oolong Tea #Xindian District Office Project,ChIJX1D-dAABaDQRD26I-xwoaQU,新店區公所站出口1,119.54449703853103
50 Lan,ChIJG9udf5irQjQR_d6ye9px0P0,松山站出口5,89.46450014229875
鶴茶樓- 鶴頂紅茶商店(中和永安店),ChIJ_6-1RiypQjQRcHLa0aHLpkE,永安市場站出口,200.32999083511345
武林茶東湖麥琪喵喵店,ChIJG6xZARetQjQR6eZp88u44QY,東湖站出口3,442.12818634415913
50嵐 龍山寺店,ChIJefn970mpQjQR2wvWFQFpRFU,龍山寺站出口1,49.90523535412656
50嵐 台北林森店,ChIJhyp0aT6pQjQRysXHcnELpro,中山站出口3,482.6788943499208
50 Lan Xindian Minquan,ChIJc1LC5vgBaDQReCLuowq7G28,大坪林站出口1,520.0273177838701
小佐お茶作-新莊中榮店,ChIJw6zWKm6pQjQRHyvg_szy5Bc,幸福站出口1,1229.7292998476005
Milksha Taipei Tianmu Shop,ChIJQT7q75quQjQRriSzRj68yz4,芝山站出口2,658.873721396152
三五級黑糖珍珠店,ChIJ0d2JBUerQjQRqLvtqm7OXMo,市政府站出口3,295.72458819723244
杯蓋帶著走 Bad Guy 淡水店,ChIJJQ2Cf-qlQjQRvbS8azpLYrs,淡水站出口1,228.4525385272636
迷客夏Milksha 臺北公館店,ChIJjctFSkGpQjQRyK0ZFNDKODA,公館站出口4,140.7845952593828
發發 莊敬牧場,ChIJO4L0ns6rQjQRbuOnK4dvVcE,台北101/世貿站出口3,490.13137059433774
功夫茶 KUNGFUTEA 樹林保安店,ChIJsRdJmJMdaDQRjaz9vbKmI_M,海山站出口1,2697.3056159121597
武林茶雙連捷運店,ChIJn20SbUqpQjQRxesBfWOgCYk,雙連站出口1,32.55447836323031
Kebuke Banqiao Juguang,ChIJGQrY56CpQjQR0r4ekOC3kvc,新埔站出口4,218.8055932794236
儒記中山 ROOJI-Zhongshan,ChIJD8kRqhurQjQRgIalSye_fpM,中山站出口2,108.3660743207206
燕窩北投紅茶 - 大龍店,ChIJ7wWDuQ6pQjQR_Z4ri96Vrc8,圓山站出口1,431.6278920362998
COMEBUY_台北內湖店,ChIJ83BT22OsQjQRt9HjpQLxhVo,港墘站出口1,300.75280731742185
GUIJI Daan Xinyi Shop,ChIJq4C2ywGrQjQRC8nkfcBVlG8,大安站出口3,62.50433691387423
九品川,ChIJq6qqqoupQjQRYbGXSz3WNEc,台電大樓站出口2,469.8036029766246
可唐精品茶旅 北科店,ChIJr6b-d-6pQjQR74I5G4hEtkc,忠孝新生站出口4,172.923252351778
TEAFECT.1 Qizhan,ChIJTTXbIicBaDQRsY2xgIeLoec,七張站出口2,108.96743524270315
功夫茶 KUNGFUTEA 台北永吉店,ChIJPep8hNSrQjQRhkhlinMAngM,後山埤站出口1,415.92515313960934
Wanpo Tea Shop Yonghe Dingxi,ChIJnzkj7C-pQjQRbohhnk9JFDU,頂溪站出口1,288.7283435127713
BLIKE Milk Tea Specialty Taipei Yanji Shop,ChIJgc059oyrQjQRFYE_-DJRV2s,國父紀念館站出口2,216.80397338876233
滿食茶間 - 伊通店,ChIJs9mUjKKpQjQRbYoIwq5Cbjc,松江南京站出口6,269.0841094992635
50 Lan Beixin Branch,ChIJjdvyxh0CaDQRmmprH5TM9dA,大坪林站出口2,198.71416792274474
萃茶風 兒童新樂園店,ChIJvz0AwVmvQjQRa3dZ9XjMP28,芝山站出口1,876.4672051834841
可不可熟成紅茶-新莊迴龍店,ChIJ1bzmTO8daDQRHN20qy51968,迴龍站出口2,878.6940817658798
天仁茗茶 大直美麗華店,ChIJ4zxwXOerQjQRDq39RuKdSgo,劍南路站出口3,157.9734514468116
Hua Da Milk Tea (Eslite Taipei Station Store),ChIJpfkzZnKpQjQRdP6UHw72w44,台北車站M5,14.812028997435576
春雨制茶「三重店」,ChIJF5BTwfmpQjQRc9xAACGTQjs,三重國小站出口,498.7597402970827
日日裝茶 - 板橋亞東店,ChIJcT0YKQADaDQRCoH1GfGORSs,亞東醫院站出口2,130.69853608819167
Kebuke Taipei Liaoning,ChIJNa9p3eSrQjQRiWh_FtNOTTs,南京復興站出口2,280.36141123991166
COFFEE.TEA.OR -中山形象店,ChIJs4q8IL6pQjQR4_shGg8nUiw,中山站出口4,68.70435225203394
飲蒔｜健康餐｜珍珠鮮奶茶專賣店｜濃茶專門店,ChIJf-YgaHyrQjQR1AeCuyeWGZs,永春站出口4,339.99865986296066
Milksha Taipei Ximending,ChIJ6z_JT7GpQjQRbNwC4QSvhds,西門站出口1,39.34505641502903
清心福全新莊輔大店-珍珠奶茶手搖飲料專賣店,ChIJKbr-6uinQjQRdKyPnypJ1nM,輔大站出口2,270.14051471185593
有飲 Youin 創意飲品-新北土城店,ChIJDRA_UbcDaDQR7wt_iKTnTsk,海山站出口3,187.38596603165672
COMEBUY Taipei Zhishan Shop,ChIJez202JauQjQR717AVNLHtF4,芝山站出口2,62.38241712237832
Milk Shop Taipei Shipai,ChIJKf5HQ4yuQjQRvjF94345ClY,石牌站出口2,252.55071585403442
功夫茶 KUNGFUTEA 西門町店,ChIJD0kRDtKpQjQRTFO69bitb0o,西門站出口5,122.14282336345745
功夫茶 KUNGFUTEA 新莊民安西店,ChIJWd76xgodaDQRL2dMAgppjKs,迴龍站出口3,1637.195032806977
CoCo都可 板橋莊敬店,ChIJJ5rUVD6oQjQRt2EYAIA7SaM,新埔站出口4,256.48216217538544
好了啦超大杯-萬華華西店,ChIJU7X-cF2pQjQRDUugg9OaCog,龍山寺站出口1,438.4712816235915
清水茶香(饒河店),ChIJkxLlWr-rQjQRQozRZirObJ0,松山站出口2,358.68103907412745
Hechalou Xindian Anmin Shop,ChIJV06hUs4DaDQRPgh-S6A0nME,小碧潭站出口1,1382.5753645454124
功夫茶 KUNGFUTEA 泰山明志店,ChIJm95YB12nQjQRKqg1wj3jGbQ,輔大站出口1,2358.629246109104
進發家-中和復興店 飲料店,ChIJ5Q_7N24DaDQRd6pWmPLAO4E,景安站出口,411.83898888583667
50嵐 得和店,ChIJM4txc66pQjQRyQDoZmj_WCU,秀朗橋站出口1,949.6414407796195
Guiji Zhonghe Jing'an,ChIJ3U2O91cDaDQRso9daPmCs4g,景安站出口,46.25119824418166
50 Lan,ChIJFwrcSdKrQjQRinvEjPHl52g,科技大樓站出口,131.64662395400129
TEA TOP 萬隆店,ChIJ5yzV3sGrQjQRiaCZ5zy4Sb8,萬隆站出口1,116.25433595140974
TEA館,ChIJN8LVlJ2vQjQRmf80Ls8Sir4,竹圍站出口1,154.58207251497032
天仁茗茶CHAFFEE 信義遠百店,ChIJwRnbV9erQjQRrT_yRSJKKlA,市政府站出口3,453.282677713403
Guiji Shipai Store,ChIJu_deOwCvQjQRPcRyZGd-6qo,石牌站出口1,384.6515359910352
茶聚CHAGE板橋大仁店｜香片領導品牌＿手搖飲料店外帶外送加盟推薦、在地美食飲料茶飲創業加盟,ChIJs_DMO16pQjQRB84p5v-2tGw,板橋站出口1,740.0260312891795
小佐お茶作-新北永和店,ChIJgxBDVvupQjQRiP9ruXiU6uI,永安市場站出口,404.9846097422495
冰爵,ChIJdTIACSSpQjQRcyCJBuFQKKg,三重國小站出口,248.35846017141307
武林茶文創人文茶飲坊/景美景文店,ChIJSacPWlKrQjQRW4Qte1xTrqo,景美站出口1,193.80101099119722
可不可熟成紅茶 石牌裕民店,ChIJMTI3O9mvQjQRpvAwIp0f3k0,石牌站出口1,248.28645153861223
50嵐 淡水中山店,ChIJ9Vm1gFalQjQRV9TSiTx0nIs,淡水站出口1,1010.691088020022
茶與布朗 Tea&Brown 輔醫店,ChIJKc1sbgCnQjQRP5Lit2pvpWM,輔大站出口1,919.0248875364712
李茶 Real Cha,ChIJO8suEEepQjQRViM865FoCqg,府中站出口3,121.32501038502026
Spade Tea Gongguan,ChIJN6jRyYqpQjQRhOJRE7PsNQ0,公館站出口1,258.65373884023245
谷得好好 紅茶專門-北車信陽店,ChIJfxmAObKpQjQRl0ihRsT3IZw,台大醫院站出口4,185.14259700345355
Milksha Taipei Hulin Shop,ChIJWSuY4qOrQjQReUNAt-K3t88,永春站出口4,77.18013303648628
極品茶-淡大店,ChIJo6HrmvivQjQRM8IBVfwOcRU,淡水站出口1,673.1945071774679
大茗本位製茶堂-台北公館店,ChIJjbLDiXOpQjQRags-iK7zOCk,公館站出口1,113.0536432464519
Dejeng Oolong Tea #Taipei Hulin Project,ChIJ8UM_GpKrQjQR0iHiWdWSplQ,永春站出口4,79.96587722868196
麻古茶坊-南港軟體園區店,ChIJl6gwwp6rQjQRpsW5GQ6fqIw,南港展覽館站出口5,420.5207129919428
馬祖新村 台北遠百信義A13店,ChIJg0m1baqrQjQRePzMKbtx2ow,市政府站出口3,437.5361947233548
CoCo都可 西門町店,ChIJa9nJVwmpQjQRJ6kAC7qgDZk,西門站出口5,156.99636836507312
Milksha New Taipei Banqiao Siwei,ChIJkUOh8RSoQjQRt17HpK8q6uc,新埔民生站出口,227.71760605291504
Tai Shi Nai Tea,ChIJo8Ye88qpQjQRZWlwPUuql3A,新莊站出口1,953.6193963840459
鶴茶樓- 鶴頂紅茶商店(板橋府中店),ChIJ9x0emrWpQjQRMP2qR0bsobw,府中站出口3,200.16337319110488
珍煮丹 台北遼寧店-中山飲料|遼寧黑糖珍珠鮮奶|手搖飲|珍珠奶茶|人氣飲料|推薦飲料,ChIJqxXVm96rQjQR_n9B5E4h25w,南京復興站出口2,424.0771293031419
Dejeng Oolong Tea #Yonghe Lehua Project,ChIJ6YLNa3ypQjQRKJ_NnKxmxQ8,永安市場站出口,590.7289883845668
五桐號WooTea 台北吳興店,ChIJHZG4UXerQjQRR-CEpntfkaE,台北101/世貿站出口3,565.6228917564611
哪次布喝,ChIJh-6gI5GpQjQRysNukEjsL2k,三和國中站出口2,646.4840801095406
GUIJI Banqiao Shop,ChIJ8dlm5rEDaDQRvBFpMgtcwPY,府中站出口1,455.16204605719184
迷客夏Milksha 新北淡大店,ChIJ660CF_-vQjQR7MnwlKrle2c,淡水站出口1,1077.6259574821797
先喝道台北古亭店,ChIJD0Ibt_epQjQR7Xr3PESN3ig,古亭站出口5,30.809886539632128
波漾水果珍珠專賣店（板橋仁愛店）,ChIJJ91SKgADaDQR9KwgF1hncg0,亞東醫院站出口3,606.68923602178
Dejeng Oolong Tea #Neihu Kangning Project,ChIJ0_iGIgCtQjQRvHy9PwTq0oA,內湖站出口1,460.6676657569167
原火茶初 - 台大公館店-公館必喝飲料|大安飲料推薦|外送飲料|人氣茶飲|飲料店推薦|推薦手搖|熱門飲料|珍珠奶茶推薦,ChIJQ9n3OWipQjQRoAJhp3a79v8,公館站出口3,223.5610319856614
紅烏茶水舖,ChIJV77eSwCrQjQRkf-CMd13LXY,善導寺站出口4,83.41941184185823
50嵐 南港園區店,ChIJITOw9lirQjQRA3DuA_rXGXI,南港展覽館站出口5,326.0630489311902
Kung Fu Tea Taipei Shuangcheng,ChIJGVNTm5ypQjQR3UUQV6qOH1c,中山國小站出口1,219.31922001646885
CoCo Tea Yonghe Zhongzheng,ChIJoZDOfHECaDQRlzN-YrMSAo8,景平站出口,561.8025693865958
清心福全 永和宜安店-珍珠奶茶手搖飲料專賣店,ChIJpYOHAOCpQjQRU0iI3Ak-NDw,景平站出口,474.9911592115678
一漾 Yearning Tea,ChIJoR2PJzKqQjQRKnv1mr1922E,中山國中站出口,524.8242290007059
珍煮丹 板橋民治店,ChIJOyyXnhWpQjQRDLhTES7YhWw,江子翠站出口5,451.06321074067426
50嵐 興隆店,ChIJ2Tg_Nd4BaDQRswt8404Ldow,萬芳醫院站出口,371.4359798645565
Kebuke Banqiao Zhongxiao,ChIJ120X5BgDaDQRUNRmEIONz2w,府中站出口1,845.7888326161112
KURE8 Kombucha | 8酵茶,ChIJvSvNzaqrQjQRi11xfttBauE,大安站出口5,11.897964907013723
開啾ドリンク專門店,ChIJy6_uD8CvQjQRVzI9R5ajUUI,淡水站出口1,1038.5249203530336
清心福全淡水水源店-珍珠奶茶手搖飲料專賣店,ChIJN6sUqQevQjQRRETY5BUzH8k,淡水站出口1,852.13987454895
清心福全新莊化成店-珍珠奶茶手搖飲料專賣店,ChIJY_jmFfmpQjQRy_Yyba-0ePg,幸福站出口1,656.90763668315
Milksha Uni-president Taipei Shop,ChIJMS-Z_9urQjQRrhhAfdTwVNI,市政府站出口2,69.26598296586127
鶴茶樓- 鶴頂紅茶商店(北投石牌店),ChIJiY_qVGivQjQRGNapoC6EkJo,石牌站出口1,242.51644377833628
鶴茶樓- 鶴頂紅茶商店(台北內湖店),ChIJO-bGsKmtQjQRXIKOKklrmTw,西湖站出口2,329.407655247761
50嵐 福壽店,ChIJ39-3veepQjQRDpCYgMJRk4w,幸福站出口2,216.8927560155982
CoCo Xindian Baoqiao,ChIJ87NtP_EBaDQRdIGVTFM45bE,七張站出口1,127.37639910706753
青花瓷茶飲,ChIJcdAA5zirQjQRNEMtHrhUGVY,南京三民站出口1,246.6472404731407
嗜時候台北巨蛋店,ChIJoXm7AACrQjQRjhXOMu_3tXA,南京復興站出口6,192.5482652917992
鶴茶樓- 鶴頂紅茶商店(南西誠品店),ChIJTftL8qOpQjQRtlFHQrhvsuc,中山站出口1,44.271924493364665
Dejeng Oolong Tea #Taipei Songjiang Project,ChIJ21tzE1KpQjQRQAHPYXJylkQ,行天宮站出口3,67.57460465133802
老派金魚Goldfish Bubbletea,ChIJy9A51AipQjQROua-v6eCHPE,西門站出口6,379.7202007863674
TRUEDAN Taipei Jinan Shop,ChIJn-5AMb2pQjQRK0nWF0dcpOo,忠孝新生站出口5,107.89055091154775
Ten Ren's Tea,ChIJ_YddC_kBaDQRcSrEZz8dxsU,大坪林站出口2,40.600890293367634
龍角 Dragon Horn 台電大樓店,ChIJ1zuh6JOpQjQRFTbsUFytju0,台電大樓站出口2,118.73295385621984
A Nice Holiday Tianmu Dexing E. Shop,ChIJDxry6EivQjQREdvXUvUFwcE,芝山站出口2,493.21931503214415
功夫茶 KUNG FU TEA 板橋國光店,ChIJy7E5EJypQjQRR8M3C7xtpQI,板橋站出口5,435.9001613631307
小甜甜珍珠奶茶（休息日請看最新動態）,ChIJ1VjsOwGqQjQRhowR-MTM8qE,景美站出口2,46.6797389077096
Jin Fa Jia Zhonghe Xingnan,ChIJd97ufjwDaDQRTWGUKqssKo8,南勢角站出口4,237.460152493588
一茶工房,ChIJsaI3EpapQjQReTx7qCQTJQU,東門站出口5,241.23959131034567
格子杯杯 鮮果茶 珍珠奶茶 飲料店,ChIJCTtVWssDaDQRyzOKvLkXYBQ,海山站出口3,56.56796338282345
藍室 Blueroom,ChIJKwXNa1GtQjQRJXk6suc7WPQ,港墘站出口1,386.84114314181784
Oolong Tea Project,ChIJ1XtMfIypQjQRW2r5x0xkaBA,台北橋站出口,310.74099604388095
