shop_name,id,closest_mrt,distance_to_mrt
TEA TOP第一味 汐止忠孝店-汐止水果飲品|必喝飲品|推薦手搖|人氣茶飲|手搖飲推薦|在地推薦飲料店,ChIJDcOZWdtTXTQRMIeJKoftdIQ,南港展覽館站出口4,4831.390723083126
Nap Tea Taipei Da'an,ChIJF3wcb-SrQjQRJj0c3JcDoIY,忠孝復興站出口4,332.51962203694745
茶聚CHAGE永和竹林店｜香片領導品牌＿永和手搖飲料店外帶外送加盟推薦 在地美食飲料茶飲創業加盟,ChIJWQRwTZKpQjQR4ENL40d6Qjs,頂溪站出口2,253.66925262082307
飲刻,ChIJha-lGmapQjQRCb0244ENIgY,府中站出口3,264.96114462753803
Xing Fu Tang Flagship,ChIJu8eht52pQjQR3aHj2SHCj-8,西門站出口6,92.70735119154702
COMEBUY_大直北安店,ChIJLVUYMVitQjQR_YHQ_IE1jrE,大直站出口2,105.3364331276943
Milksha,ChIJex1D2rarQjQRKRRenbYXz9I,台北101/世貿站出口4,112.89303729941753
五桐號WooTEA（臺北南港店）,ChIJQcaAxsKrQjQROw4fd2b6hJs,南港展覽館站出口5,311.0346557492166
TRUEDAN Wenshan Muxin Shop,ChIJNXAcuxOqQjQRqvSd3zAkI7c,大坪林站出口5,1808.8198178472844
Ten Ren's Tea,ChIJ4cNAogypQjQRYZVKQJx-1zQ,雙連站出口2,333.23575415323506
50 Lan,ChIJFWm3P6WuQjQRUitMwB_Povw,士林站出口2,354.4538588951471
Milksha Taipei Yitong Shop,ChIJm3_BW2CpQjQR0aEb6_dFftM,松江南京站出口6,116.18877657043272
清涼小棧-創意飲品店,ChIJE6WvHOCpQjQRJARYF8t-A8M,景平站出口,450.0779525532791
龍角 Dragon Horn 板橋新埔店,ChIJ-bfkGgCpQjQRogbDAgWu4Zc,新埔站出口1,87.98194570967514
五桐號WooTea 台北古亭店,ChIJuTF1EUSpQjQRFQb8cundnBE,古亭站出口5,11.461861947515647
SPRINO TEA Yonghe 三分春色 永和樂華店,ChIJufk_ZP-pQjQRQJp7ydcLDTM,頂溪站出口1,447.4061767428155
Wanpo Tea Shop Taipei Bade,ChIJb31cN4WrQjQRtvQufpdsqVs,台北小巨蛋站出口4,550.6061270662367
茶山小_TEASSENTIAL（和平總店）大安必喝飲料|飲料推薦|外送飲料|水果飲品|人氣茶飲|奶蓋首選|熱門飲料|蛋蜜汁,ChIJjZdHFgyrQjQRTZ2kEIXEOmY,六張犁站出口,133.0404195270328
50 Lan Yonghe Lehua,ChIJxeWOJ-ipQjQRVWYP0Tape9c,頂溪站出口1,529.2949657378167
Kebuke Taipei Da'an,ChIJSZRWAturQjQRaua1TOtO4M4,忠孝復興站出口4,274.45811343126354
天仁茗茶 永康店,ChIJExhoS4KpQjQRhkIntwUZwOg,東門站出口5,174.42157967451956
茶聚CHAGE新莊八德店｜香片領導品牌＿手搖飲料店外帶外送加盟推薦、在地美食飲料茶飲創業加盟,ChIJ9UJJeSOnQjQRc1WwlpJDUvs,丹鳳站出口2,962.703508356625
樂法 Le Phare - 西門店,ChIJ6RcZcgmpQjQRUjmIHSGWRCE,西門站出口6,30.93076698398579
G.CUP,ChIJlQ9MeACtQjQRCMt0zQ0NVlk,東湖站出口3,393.41188752698133
一隻恐龍COFFEE,ChIJq96kYEAdaDQRksfJRs9XFUA,亞東醫院站出口2,1050.3171926238067
倍斯巴克飲品-三重五華店,ChIJz7-cc2upQjQRlkFv3vYZP_s,三和國中站出口2,911.1961246313849
50嵐 淡水英專店,ChIJc9Q6hlqlQjQRW0BT-0xKF9M,淡水站出口1,230.2422179196641
iHERE tea & cafe,ChIJjZr8CaipQjQRcnGTYBoMjMQ,龍山寺站出口3,524.7243813284593
三白茉莉-茶飲專門店,ChIJM9-SeACrQjQReCyJWOfkgEQ,中山國中站出口,361.80022510500066
GUIJI Gongguan,ChIJGSZSEbmpQjQRaeA4PyFdxRo,公館站出口1,148.28619385061205
丘森茶室台北華碩立功店,ChIJF5zshnmvQjQRDbZF4Fz3ij4,關渡站出口1,309.18794927094063
清心福全公館店-珍珠奶茶手搖飲料專賣店,ChIJD7OSliapQjQRWRmT3y_ypLc,公館站出口4,139.52181903390365
巴伯Q奶 Bubble tea 黑糖珍珠牛奶專賣店,ChIJQVWymYupQjQR9l0jcfyF15I,公館站出口4,119.8202224202451
